"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM854865","PA793572","Christophe Plassard","PO854349","GE","Forêt et filière bois","2024-12-20","","Membre"
"PM863601","PA795240","Mereana Reid Arbelot","PO851829","GA","France-Vanuatu","2025-02-07","","Membre"
"PM859030","PA794906","Gabriel Amard","PO851552","GA","France-Arménie","2025-01-24","","Membre"
"PM865244","PA794058","Justine Gruet","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-02-19","","Vice-Président"
"PM878412","PA841973","Pierre-Henri Carbonnel","PO851628","GA","France-Portugal","2026-02-04","","Membre"
"PM864512","PA841769","Éric Michoux","PO851819","GA","France-Roumanie","2025-02-13","","Vice-Président"
"PM856687","PA841351","Emmanuel Duplessy","PO854578","GE","Racisme et discriminations raciales ou religieuses","2025-01-16","","Membre"
"PM855955","PA841587","David Magnier","PO854491","GE","Ruralité","2025-01-14","","Membre"
"PM884805","PA794262","Patricia Maussion","PO854328","GE","Eau et biodiversité","2026-07-21","","Membre"
"PM857777","PA841621","Auguste Evrard","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-01-23","","Membre"
"PM866513","PA793912","Sylvain Carrière","PO851698","GA","France-Cuba","2025-03-07","","Membre"
"PM872727","PA720038","Sandrine Josso","PO854486","GE","Maladies rares","2025-07-22","","Membre"
"PM868156","PA795240","Mereana Reid Arbelot","PO851437","GA","France-Corée du Sud","2025-04-03","","Membre"
"PM858688","PA795808","Sabrina Sebaihi","PO851834","GA","France-Inde","2025-01-23","","Membre"
"PM857956","PA841471","Stéphane Hablot","PO854423","GE","Polices municipales","2025-01-23","","Membre"
"PM855780","PA841327","Fabrice Roussel","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-13","","Membre"
"PM855167","PA608826","Virginie Duby-Muller","PO854514","GE","Jeu vidéo","2024-12-24","","Membre"
"PM868335","PA840809","Gérault Verny","PO854343","GE","Vigne, vin et œnologie","2025-04-07","","Membre"
"PM884630","PA794262","Patricia Maussion","PO851522","GA","France-Québec","2026-07-15","","Membre"
"PM858867","PA842187","Gabrielle Cathala","PO856882","GA","France-Palestine","2025-01-23","","Membre"
"PM861994","PA840979","Corentin Le Fur","PO851719","GA","France-Soudan du Sud","2025-02-03","","Membre"
"PM856691","PA793656","Lisette Pollet","PO854168","GE","Tourisme et patrimoine","2025-01-16","","Membre"
"PM860649","PA719550","Liliana Tanguy","PO851562","GA","France-Bosnie-Herzégovine","2025-01-29","","Membre"
"PM856078","PA840135","Alexandre Dufosset","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-14","","Membre"
"PM859778","PA795998","Émeline K/Bidi","PO854293","GE","Langues et cultures régionales","2025-01-28","","Membre"
"PM855346","PA607395","Stéphane Travert","PO854444","GE","Cheval","2025-01-06","","Membre"
"PM860828","PA721750","Céline Calvez","PO851537","GA","France-Ukraine","2025-01-29","","Membre"
"PM856257","PA793194","Lionel Vuibert","PO854491","GE","Ruralité","2025-01-15","","Membre"
"PM859957","PA794154","Jean-Claude Raux","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-28","","Co-Président"
"PM855525","PA642988","Hervé de Lépinau","PO854343","GE","Vigne, vin et œnologie","2025-01-08","","Membre"
"PM857781","PA841621","Auguste Evrard","PO851467","GA","France-Pologne","2025-01-23","","Membre"
"PM861739","PA719372","Guillaume Kasbarian","PO851749","GA","France-Liban","2025-02-02","","Membre"
"PM860295","PA642847","Thibault Bazin","PO854465","GE","Gens du voyage","2025-01-28","","Membre"
"PM863995","PA841769","Éric Michoux","PO854240","GE","Commerce, artisanat et métiers d'art","2025-02-11","","Membre"
"PM856436","PA718884","Valérie Bazin-Malgras","PO854333","GE","Industries du luxe","2025-01-15","","Membre"
"PM868160","PA841729","Abdelkader Lahmar","PO851849","GA","France-Oman","2025-04-03","","Membre"
"PM858692","PA795808","Sabrina Sebaihi","PO851749","GA","France-Liban","2025-01-23","","Membre"
"PM858079","PA793342","Alexandra Martin (Alpes-Maritimes)","PO851552","GA","France-Arménie","2025-01-23","","Membre"
"PM857960","PA720838","Soumya Bourouaha","PO851254","GA","France-Algérie","2025-01-23","","Membre"
"PM874374","PA841487","Anthony Boulogne","PO851477","GA","France-Brésil","2025-10-31","","Membre"
"PM861918","PA840979","Corentin Le Fur","PO851244","GA","France-Géorgie","2025-02-03","","Membre"
"PM860474","PA722000","Stéphane Buchou","PO851442","GA","France-Canada","2025-01-28","","Membre"
"PM856615","PA795844","Karen Erodi","PO854343","GE","Vigne, vin et œnologie","2025-01-16","","Membre"
"PM855171","PA608826","Virginie Duby-Muller","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2024-12-24","","Membre"
"PM858871","PA842187","Gabrielle Cathala","PO851602","GA","France-République démocratique du Congo","2025-01-23","","Membre"
"PM862829","PA795636","Benjamin Lucas-Lundy","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-05","","Membre"
"PM858258","PA267780","Agnès Firmin Le Bodo","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-23","","Membre"
"PM861385","PA722390","Josiane Corneloup","PO854240","GE","Commerce, artisanat et métiers d'art","2025-01-30","","Membre"
"PM860653","PA719550","Liliana Tanguy","PO851869","GA","France-Macédoine du Nord","2025-01-29","","Membre"
"PM856082","PA840135","Alexandre Dufosset","PO854157","GE","Filière brassicole","2025-01-14","2025-01-14","Membre"
"PM859782","PA795998","Émeline K/Bidi","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-01-28","","Membre"
"PM855350","PA722000","Stéphane Buchou","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-01-06","","Membre"
"PM879896","PA342196","Claudia Rouaux","PO851884","GA","France-Norvège","2026-04-01","","Membre"
"PM865996","PA795636","Benjamin Lucas-Lundy","PO851844","GA","France-République d'Autriche","2025-03-03","","Membre"
"PM858437","PA1327","Nicolas Forissier","PO851924","GA","France-Sénégal","2025-01-23","2025-11-12","Membre"
"PM861564","PA796070","Perceval Gaillard","PO854308","GE","Littoral","2025-01-31","","Membre"
"PM857705","PA840135","Alexandre Dufosset","PO851658","GA","France-Danemark","2025-01-23","","Membre"
"PM860832","PA720838","Soumya Bourouaha","PO856882","GA","France-Palestine","2025-01-29","","Membre"
"PM856261","PA841777","Arnaud Sanvert","PO854240","GE","Commerce, artisanat et métiers d'art","2025-01-15","2025-03-07","Membre"
"PM860219","PA840837","Pascal Markowsky","PO851914","GA","France-Etats-Unis","2025-01-28","","Membre"
"PM859961","PA795270","Marie-Agnès Poussier-Winsback","PO854152","GE","Économie sociale et solidaire et responsabilité sociétale des entreprises","2025-01-28","","Membre"
"PM859348","PA795084","Rodrigo Arenas","PO851592","GA","France-Mexique","2025-01-26","","Membre"
"PM861743","PA719372","Guillaume Kasbarian","PO851522","GA","France-Québec","2025-02-02","","Membre"
"PM856440","PA1327","Nicolas Forissier","PO854240","GE","Commerce, artisanat et métiers d'art","2025-01-15","2025-11-12","Membre"
"PM863386","PA795950","David Amiel","PO851406","GA","France-Kosovo","2025-02-06","2025-11-12","Membre"
"PM859527","PA736201","Sophie Taillé-Polian","PO851592","GA","France-Mexique","2025-01-27","","Membre"
"PM858083","PA795410","Béatrice Roullaud","PO854251","GE","Autisme","2025-01-23","","Membre"
"PM861922","PA840979","Corentin Le Fur","PO851309","GA","France-Guinée équatoriale","2025-02-03","","Membre"
"PM875209","PA795954","Catherine Ibled","PO854349","GE","Forêt et filière bois","2025-11-17","","Membre"
"PM878909","PA759832","Agnès Pannier-Runacher","PO854439","GE","Impact des changements climatiques","2026-02-12","","Membre"
"PM864297","PA793616","Kévin Mauvieux","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-02-12","","Membre"
"PM863565","PA796078","Estelle Youssouffa","PO851914","GA","France-Etats-Unis","2025-02-07","","Vice-Président"
"PM856006","PA309643","Véronique Besse","PO854406","GE","Enseignement privé","2025-01-14","","Membre"
"PM859706","PA795120","Marina Ferrari","PO854343","GE","Vigne, vin et œnologie","2025-01-27","2025-11-12","Membre"
"PM862833","PA795636","Benjamin Lucas-Lundy","PO851955","GEVI","Groupe d’études à vocation internationale Corée du Nord","2025-02-05","","Membre"
"PM858262","PA841183","Hanane Mansouri","PO851477","GA","France-Brésil","2025-01-23","","Membre"
"PM864476","PA840979","Corentin Le Fur","PO854293","GE","Langues et cultures régionales","2025-02-12","","Vice-Président"
"PM860044","PA795228","Nadège Abomangoli","PO851577","GA","France-Congo","2025-01-28","","Membre"
"PM863744","PA793772","Christophe Bex","PO851779","GA","France-Egypte","2025-02-10","","Membre"
"PM858441","PA1327","Nicolas Forissier","PO851371","GA","France-Sri Lanka-Maldives","2025-01-23","2025-11-12","Membre"
"PM865387","PA841563","Claire Marais-Beuil","PO851729","GA","France-Irak","2025-02-19","","Membre"
"PM864655","PA840947","Catherine Hervieu","PO851749","GA","France-Liban","2025-02-14","","Membre"
"PM860223","PA840837","Pascal Markowsky","PO851396","GA","France-Mongolie","2025-01-28","","Membre"
"PM863923","PA842255","Anne Sicard","PO854406","GE","Enseignement privé","2025-02-11","","Vice-Président"
"PM859352","PA840773","Olivier Fayssat","PO851304","GA","France-Israël","2025-01-26","","Membre"
"PM858620","PA793254","Julien Rancoule","PO851552","GA","France-Arménie","2025-01-23","","Membre"
"PM865566","PA841605","Antoine Golliot","PO851622","GA","France-Liechtenstein","2025-02-20","","Vice-Président"
"PM858007","PA794502","Michaël Taverne","PO851904","GA","France-Emirats Arabes Unis","2025-01-23","","Membre"
"PM864834","PA841931","Laurent Mazaury","PO851904","GA","France-Emirats Arabes Unis","2025-02-18","","Membre"
"PM863390","PA1567","Jérôme Guedj","PO851919","GA","France-Chili","2025-02-06","","Vice-Président"
"PM860402","PA794562","Philippe Ballard","PO851350","GA","France-Japon","2025-01-28","","Membre"
"PM859531","PA794954","Emeric Salmon","PO851324","GA","France-Niger","2025-01-27","","Membre"
"PM862045","PA795330","Eléonore Caroit","PO851759","GA","France-Bolivie","2025-01-31","2025-11-12","Vice-Président"
"PM875213","PA795954","Catherine Ibled","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-11-17","","Membre"
"PM865745","PA841613","Marc de Fleurian","PO856876","GA","France-Caraïbes","2025-02-24","2025-02-25","Membre"
"PM878913","PA759832","Agnès Pannier-Runacher","PO854288","GE","Attractivité économique et export","2026-02-12","","Membre"
"PM881427","PA718820","Pauline Cestrières","PO851269","GA","France-Argentine","2026-05-04","","Membre"
"PM871959","PA794570","Alexandre Sabatou","PO851209","GA","France-Jamaïque","2025-07-01","2025-09-07","Membre"
"PM856010","PA309643","Véronique Besse","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-14","","Membre"
"PM859710","PA793832","Yoann Gillet","PO851582","GA","France-Philippines","2025-01-27","","Membre"
"PM862224","PA720146","Denis Masséglia","PO851249","GA","France-Arabie Saoudite","2025-02-04","","Membre"
"PM882338","PA841377","Emeline Rey-Rinchet","PO851492","GA","France-Suisse","2026-05-26","","Membre"
"PM864480","PA608264","Colette Capdevielle","PO854293","GE","Langues et cultures régionales","2025-02-12","","Vice-Président"
"PM867567","PA335054","Marietta Karamanli","PO851849","GA","France-Oman","2025-03-24","","Membre"
"PM863135","PA795176","Nicolas Metzdorf","PO851829","GA","France-Vanuatu","2025-01-23","","Vice-Président"
"PM862403","PA794106","Andrée Taurinya","PO856882","GA","France-Palestine","2025-02-04","","Membre"
"PM857100","PA607619","Paul Molac","PO854225","GE","Kurdes","2025-01-21","","Membre"
"PM864046","PA841769","Éric Michoux","PO851834","GA","France-Inde","2025-02-11","","Membre"
"PM867746","PA720668","Emmanuel Blairy","PO851688","GA","France-Tunisie","2025-03-19","","Vice-Président"
"PM865570","PA841981","Catherine Rimbert","PO851884","GA","France-Norvège","2025-02-20","","Vice-Président"
"PM858011","PA841777","Arnaud Sanvert","PO854343","GE","Vigne, vin et œnologie","2025-01-23","2025-03-07","Membre"
"PM855489","PA720362","Belkhir Belhaddad","PO854200","GE","Conditions d’accueil des migrants et mineurs non accompagnés","2025-01-08","","Membre"
"PM883607","PA793374","Romain Baubry","PO851879","GA","France-Mauritanie","2026-06-17","","Membre"
"PM881431","PA718820","Pauline Cestrières","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2026-05-04","","Membre"
"PM855668","PA720354","Jean-Michel Jacques","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-01-10","","Membre"
"PM871963","PA794570","Alexandre Sabatou","PO851617","GA","France-Kenya Ouganda Tanzanie","2025-07-01","2025-09-07","Membre"
"PM854936","PA841091","Arnaud Simion","PO854561","GE","Santé mentale","2024-12-20","","Membre"
"PM859101","PA721816","Ian Boucard","PO851784","GA","France-Grèce","2025-01-24","","Membre"
"PM882342","PA841377","Emeline Rey-Rinchet","PO854278","GE","Déserts médicaux et accès aux soins","2026-05-26","","Membre"
"PM856579","PA795374","Pascal Lecamp","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-16","","Membre"
"PM865315","PA841613","Marc de Fleurian","PO854380","GE","Cancer","2025-02-19","2025-03-14","Membre"
"PM855847","PA794530","Matthieu Marchio","PO854471","GE","Handicap et inclusion","2025-01-13","","Membre"
"PM867571","PA794042","Sylvie Dezarnaud","PO851894","GA","France-Indonésie","2025-03-25","2025-11-05","Membre"
"PM866226","PA841463","Estelle Mercier","PO854210","GE","Grande distribution et grande consommation","2025-03-04","","Vice-Président"
"PM864050","PA841769","Éric Michoux","PO851779","GA","France-Egypte","2025-02-11","","Membre"
"PM867750","PA793416","Freddy Sertin","PO854491","GE","Ruralité","2025-03-26","2025-11-12","Vice-Président"
"PM857669","PA841563","Claire Marais-Beuil","PO854486","GE","Maladies rares","2025-01-23","","Membre"
"PM860796","PA695512","Guillaume Lepers","PO851492","GA","France-Suisse","2025-01-29","2026-04-20","Membre"
"PM856937","PA722162","Nicolas Turquois","PO854380","GE","Cancer","2025-01-19","","Membre"
"PM855493","PA720362","Belkhir Belhaddad","PO854396","GE","Énergies durables et hydrogène","2025-01-08","","Membre"
"PM854761","PA342384","Élisa Martin","PO854200","GE","Conditions d’accueil des migrants et mineurs non accompagnés","2024-12-19","","Membre"
"PM883611","PA793374","Romain Baubry","PO851492","GA","France-Suisse","2026-06-17","","Membre"
"PM857848","PA795588","Farida Amrani","PO851834","GA","France-Inde","2025-01-23","","Membre"
"PM860975","PA795552","Julien Odoul","PO851517","GA","France-Russie","2025-01-30","","Membre"
"PM855672","PA720354","Jean-Michel Jacques","PO854540","GE","Sécurité privée","2025-01-10","","Membre"
"PM854940","PA842037","Bérenger Cernon","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2024-12-20","","Membre"
"PM858759","PA720552","Isabelle Rauch","PO851739","GA","France-Luxembourg","2025-01-23","","Membre"
"PM861886","PA840979","Corentin Le Fur","PO851527","GA","France-Bruneï Malaisie","2025-02-03","","Membre"
"PM856583","PA722374","Cyrille Isaac-Sibille","PO854328","GE","Eau et biodiversité","2025-01-16","","Membre"
"PM855851","PA794530","Matthieu Marchio","PO854168","GE","Tourisme et patrimoine","2025-01-13","","Membre"
"PM862797","PA841885","Arnaud Bonnet","PO851567","GA","France-Finlande","2025-02-05","","Vice-Président"
"PM858938","PA795730","Bastien Marchive","PO851628","GA","France-Portugal","2025-01-24","","Membre"
"PM866230","PA841243","Sébastien Saint-Pasteur","PO854471","GE","Handicap et inclusion","2025-03-05","","Vice-Président"
"PM856762","PA794058","Justine Gruet","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-17","","Membre"
"PM856149","PA346782","Philippe Juvin","PO854417","GE","Prostitution","2025-01-14","","Membre"
"PM859849","PA794322","Thomas Ménagé","PO851628","GA","France-Portugal","2025-01-28","","Membre"
